,u,g,r,i,z,class,redshift
47409,19.166339999999998,17.61797,16.94414,16.63318,16.34471,1.0,0.02591632
47416,18.61925,17.31196,16.86843,16.58449,16.470589999999998,1.0,0.070076
47426,18.421020000000002,17.28004,16.79445,16.5112,16.401770000000003,1.0,0.07609054
47438,19.023220000000002,17.6263,16.95675,16.565910000000002,16.30904,1.0,0.06194033
47446,18.67101,17.58259,17.16913,16.9462,16.74069,1.0,0.03637609
47480,18.610979999999998,17.58661,17.21169,16.9881,16.83634,1.0,0.03086742
47498,18.73861,17.39507,16.913079999999997,16.73963,16.66209,0.0,-2.6562290000000002e-06
47527,19.10471,17.346610000000002,16.50745,16.01001,15.67539,1.0,0.07013859
47528,18.81731,17.66572,17.12868,16.777810000000002,16.584529999999997,1.0,0.07102569
47536,19.2051,17.72672,17.15419,16.96126,16.87545,0.0,0.00032915900000000004
47552,19.0677,17.16422,16.2927,15.8999,15.5776,1.0,0.06594852
47561,18.27736,17.02828,16.60089,16.267960000000002,16.05913,1.0,0.05450163
47571,19.085160000000002,17.536189999999998,16.79472,16.37017,16.08429,1.0,0.07459903
